       vrijednost x         exp(-x) red      broj iteracija  exp(-x) rekurzivna      broj iteracija      exp(-x) inverz      broj iteracija             exp(-x)             epsilon

                 +0     +1.00000000e+00                  +2     +1.00000000e+00                  +2     +1.00000000e+00                  +2     +1.00000000e+00     +1.00000000e-10
                +10     +4.53999363e-05                 +45     +4.53999365e-05                 +45     +4.53999298e-05                 +45     +4.53999298e-05     +1.00000000e-10
                +20     +5.64433318e-10                 +73     +6.16418485e-09                 +73     +2.06115362e-09                 +73     +2.06115362e-09     +1.00000000e-10
                +30     -8.55301517e-05                +101     +6.10305515e-06                +101     +9.35762297e-14                +101     +9.35762297e-14     +1.00000000e-10
                +40     +1.47026449e-01                +128     +3.11695159e-01                +128     +4.24835426e-18                +128     +4.24835426e-18     +1.00000000e-10
                +50     -7.01577623e+03                +156     +2.04183296e+03                +156     +1.92874985e-22                +156     +1.92874985e-22     +1.00000000e-10
                +60     -1.22305112e+09                +183     +7.22745701e+08                +183     +8.75651076e-27                +183     +8.75651076e-27     +1.00000000e-10
                +70     +1.51417597e+13                +210     +4.59408121e+12                +210     +3.97544974e-31                +210     +3.97544974e-31     +1.00000000e-10
                +80     +6.77246585e+17                +238     +2.45082012e+17                +238     +1.80485139e-35                +238     +1.80485139e-35     +1.00000000e-10
                +90     -7.88498812e+21                +265     -5.86579931e+21                +265     +8.19401262e-40                +265     +8.19401262e-40     +1.00000000e-10
               +100     -2.87565825e+26                +292     +8.14465275e+25                +292     +3.72007598e-44                +292     +3.72007598e-44     +1.00000000e-10

                 +0     +1.00000000e+00                  +2     +1.00000000e+00                  +2     +1.00000000e+00                  +2     +1.00000000e+00     +1.00000000e-15
                +10     +4.53999294e-05                 +52     +4.53999297e-05                 +52     +4.53999298e-05                 +52     +4.53999298e-05     +1.00000000e-15
                +20     +5.47810210e-10                 +82     +6.14756175e-09                 +82     +2.06115362e-09                 +82     +2.06115362e-09     +1.00000000e-15
                +30     -8.55301643e-05                +110     +6.10304248e-06                +110     +9.35762297e-14                +110     +9.35762297e-14     +1.00000000e-15
                +40     +1.47026449e-01                +138     +3.11695159e-01                +138     +4.24835426e-18                +138     +4.24835426e-18     +1.00000000e-15
                +50     -7.01577623e+03                +166     +2.04183296e+03                +166     +1.92874985e-22                +166     +1.92874985e-22     +1.00000000e-15
                +60     -1.22305112e+09                +193     +7.22745701e+08                +193     +8.75651076e-27                +193     +8.75651076e-27     +1.00000000e-15
                +70     +1.51417597e+13                +221     +4.59408121e+12                +221     +3.97544974e-31                +221     +3.97544974e-31     +1.00000000e-15
                +80     +6.77246585e+17                +248     +2.45082012e+17                +248     +1.80485139e-35                +248     +1.80485139e-35     +1.00000000e-15
                +90     -7.88498812e+21                +275     -5.86579931e+21                +275     +8.19401262e-40                +275     +8.19401262e-40     +1.00000000e-15
               +100     -2.87565825e+26                +303     +8.14465275e+25                +303     +3.72007598e-44                +303     +3.72007598e-44     +1.00000000e-15
