
             r = x                 yL                 yP                dyP                 yS            yP - yS

 +2.8100000000e+00  +2.3831978563e+02  +2.3831978563e+02  +1.1000268933e-03  +2.3841668692e+02  -9.6901286633e-02
 +2.9100000000e+00  +1.6709658511e+02  +1.6709658511e+02  +4.3594834563e-06  +1.6709733782e+02  -7.5270965394e-04
 +3.0100000000e+00  +1.1511197772e+02  +1.1511197772e+02  +4.7725674716e-04  +1.1489778311e+02  +2.1419461262e-01
 +3.1100000000e+00  +7.7481814932e+01  +7.7481814932e+01  +2.4479887235e-04  +7.7343855470e+01  +1.3795946212e-01
 +3.2100000000e+00  +5.0501940616e+01  +5.0501940616e+01  +9.7971200284e-05  +5.0518932025e+01  -1.6991408708e-02
 +3.3100000000e+00  +3.1375359117e+01  +3.1375359117e+01  +1.7156482374e-04  +3.1345147094e+01  +3.0212023060e-02
 +3.4100000000e+00  +1.7998457466e+01  +1.7998457466e+01  +4.2566752167e-05  +1.7990321330e+01  +8.1361364877e-03
 +3.5100000000e+00  +8.7974303349e+00  +8.7974303349e+00  +6.7009074378e-05  +8.7766458662e+00  +2.0784468670e-02
 +3.6100000000e+00  +2.6031587824e+00  +2.6031587824e+00  +6.0579116248e-05  +2.5702034177e+00  +3.2955364696e-02
 +3.7100000000e+00  -1.4459618204e+00  -1.4459618204e+00  +3.4881882080e-06  -1.4450426602e+00  -9.1916019584e-04
 +3.8100000000e+00  -3.9802715130e+00  -3.9802715130e+00  +3.7425040714e-05  -3.9880881071e+00  +7.8165941406e-03
 +3.9100000000e+00  -5.4581832352e+00  -5.4581832352e+00  +1.9848782767e-05  -5.4646127532e+00  +6.4295180466e-03
 +4.0100000000e+00  -6.2112807754e+00  -6.2112807754e+00  +1.1555081529e-05  -6.2121064931e+00  +8.2571771587e-04
 +4.1100000000e+00  -6.4777793956e+00  -6.4777793956e+00  +1.9828138985e-05  -6.4840924683e+00  +6.3130727241e-03
 +4.2100000000e+00  -6.4271260330e+00  -6.4271260330e+00  +4.5068813926e-06  -6.4283242544e+00  +1.1982214487e-03
 +4.3100000000e+00  -6.1782707400e+00  -6.1782707400e+00  +1.0841263509e-05  -6.1791029647e+00  +8.3222464122e-04
 +4.4100000000e+00  -5.8134649775e+00  -5.8134649775e+00  +1.0101599902e-05  -5.8153385682e+00  +1.8735907119e-03
 +4.5100000000e+00  -5.3887046539e+00  -5.3887046539e+00  +1.4313952262e-06  -5.3886270432e+00  -7.7610715623e-05
 +4.6100000000e+00  -4.9414646567e+00  -4.9414646567e+00  +8.5896980235e-06  -4.9422509950e+00  +7.8633828393e-04
 +4.7100000000e+00  -4.4962288684e+00  -4.4962288684e+00  +4.6064144385e-06  -4.4967231454e+00  +4.9427698688e-04
 +4.8100000000e+00  -4.0683461754e+00  -4.0683461754e+00  +3.8024144320e-06  -4.0683510343e+00  +4.8588347799e-06
 +4.9100000000e+00  -3.6667428484e+00  -3.6667428484e+00  +6.4390898145e-06  -3.6670625300e+00  +3.1968161787e-04
 +5.0100000000e+00  -3.2959093381e+00  -3.2959093381e+00  +1.2363496110e-06  -3.2959589282e+00  +4.9590091578e-05
